,ID livro,Título,Autora,Faixa etária recomendada,Gênero,Conteúdo,Trigger Warnings
0,1,A Hipótese do Amor,Ali Hazelwood,18+,"Romance Contemporâneo, Comédia Romântica","{'Conteúdo Sexual': '🔴 Alto – cena de sexo com penetração, linguagem erótica explícita', 'Violência': '🟢 Baixo', 'Linguagem': '🟡 Moderado – termos sensuais e falas sugestivas', 'Drogas/Álcool': '🟢 Baixo – menções leves a álcool', 'Temas': '🟡 Moderado – romance, ambiente acadêmico, autoimagem'}","['Sexo explícito', 'Relacionamento entre aluna e professor (simbólico)', 'Ansiedade social']"
1,2,Um Experimento de Amor em Nova York,Elena Armas,18+,Romance Adulto Contemporâneo,"{'Conteúdo Sexual': '🔴 Muito alto – várias cenas de sexo com penetração, oral, masturbação, descrições gráficas&#8203;:contentReference[oaicite:0]{index=0}', 'Violência': '🟢 Baixo', 'Linguagem': '🔴 Alta – linguagem sexual explícita e vulgar em algumas partes', 'Drogas/Álcool': '🟢 Baixo – consumo social', 'Temas': '🟡 Moderado – reencontros, tensão sexual, desenvolvimento emocional'}","['Sexo gráfico', 'Masturbação detalhada', 'Dominação e linguagem explícita']"
2,3,Para Todos os Garotos que Já Amei,Jenny Han,12+,Romance Adolescente (Young Adult),"{'Conteúdo Sexual': '🟢 Baixo – beijos e tensão romântica, sem cenas sexuais explícitas', 'Violência': '🟢 Baixo', 'Linguagem': '🟢 Baixo – linguagem apropriada para adolescentes', 'Drogas/Álcool': '🟢 Baixo', 'Temas': '🟡 Moderado – amadurecimento, relacionamentos, vida escolar'}",[]
3,4,A Seleção,Kiera Cass,12+,Distopia Romântica Juvenil,"{'Conteúdo Sexual': '🟢 Baixo – beijos e clima de romance, sem conteúdo erótico', 'Violência': '🟡 Moderado – conflitos sociais e sistema de castas, sem violência gráfica', 'Linguagem': '🟢 Baixo', 'Drogas/Álcool': '🟢 Baixo', 'Temas': '🟡 Moderado – disputas por poder, escolha amorosa, classes sociais'}",[]
4,5,O Príncipe Cruel,Holly Black,14+,Fantasia Sombria / YA,"{'Conteúdo Sexual': '🟡 Leve – insinuações, sensualidade leve, sem sexo gráfico', 'Violência': '🔴 Alta – tortura, assassinatos, abuso psicológico', 'Linguagem': '🟡 Moderado – algumas falas mais agressivas', 'Drogas/Álcool': '🟡 Moderado – consumo em contextos mágicos ou festas', 'Temas': '🔴 Pesado – bullying, traição, manipulação, política sombria'}","['Violência física e psicológica', 'Assassinatos e traições', 'Bullying intenso']"
5,6,Amor & Azeitonas,Jenna Evans Welch,12+,"Romance Juvenil, Viagem, Drama Familiar","{'Conteúdo Sexual': '🟢 Baixo – menções sutis de beijo e romance adolescente', 'Violência': '🟢 Baixo – nenhuma cena violenta', 'Linguagem': '🟢 Baixo – linguagem apropriada ao público infantojuvenil', 'Drogas/Álcool': '🟢 Baixo – breves menções a café e chiclete; nada de álcool/drogas', 'Temas': '🟡 Moderado – abandono parental, reencontro com o pai, amadurecimento emocional'}","['Abandono parental', 'Crises de ansiedade', 'Separação familiar']"
6,7,Abaixo de Zero,Ali Hazelwood,18+,"Romance Contemporâneo, STEM","{'Conteúdo Sexual': '🔴 Alto – Cenas explícitas e linguagem sexual detalhada', 'Violência': '🟢 Baixo – Nenhuma cena violenta', 'Linguagem': '🟡 Moderado – Linguagem adulta e palavrões ocasionais', 'Drogas/Álcool': '🟢 Baixo – Consumo social de álcool', 'Temas': '🟡 Moderado – Relacionamentos complexos, ambiente de trabalho acadêmico/científico, rivalidade profissional'}","[['Claustrofobia', 'Machismo no ambiente de trabalho', 'Acidente (soterrada em uma crevasse)']]"
7,8,Presa com Você,Ali Hazelwood,18+,"Romance Contemporâneo, Comédia Romântica, STEM","{'Conteúdo Sexual': '🔴 Alto – Cenas explícitas e diálogos com tensão sexual', 'Violência': '🟢 Baixo – Nenhuma cena violenta', 'Linguagem': '🟡 Moderado – Linguagem adulta e palavrões', 'Drogas/Álcool': '🟢 Baixo – Consumo social de álcool', 'Temas': '🟡 Moderado – Rivalidade profissional, romance no local de trabalho, superação de traumas passados'}","[['Claustrofobia (ficar preso em elevador)', 'Traição profissional', 'Relacionamento tóxico no passado']]"
8,9,Sob o Mesmo Teto,Ali Hazelwood,18+,"Romance Contemporâneo, Comédia Romântica, Enemies to Lovers","{'Conteúdo Sexual': '🔴 Alto – Cenas explícitas e tensão sexual', 'Violência': '🟢 Baixo – Nenhuma cena violenta', 'Linguagem': '🟡 Moderado – Linguagem adulta e palavrões', 'Drogas/Álcool': '🟢 Baixo – Consumo social de álcool', 'Temas': '🟡 Moderado – Conflito de herança, convivência forçada, rivalidade profissional (indústria de petróleo vs. ambientalista)'}","[['Luto', 'Rivalidade profissional', 'Conflito familiar']]"
9,10,A Razão do Amor,Ali Hazelwood,18+,"Romance Contemporâneo, STEM, Comédia Romântica","{'Conteúdo Sexual': '🔴 Alto – Cenas explícitas e linguagem sexual', 'Violência': '🟢 Baixo – Nenhuma cena violenta', 'Linguagem': '🟡 Moderado – Linguagem adulta e palavrões', 'Drogas/Álcool': '🟢 Baixo – Consumo social de álcool', 'Temas': '🟡 Moderado – Rivalidade acadêmica, neurociência, misoginia no ambiente de trabalho, saúde mental'}","[['Assédio no ambiente de trabalho', 'Morte de parente', 'Ataques de pânico', 'Convulsão']]"
